sample,R1,R2
HRR858159,/home/keke/base/raw/HRA003647/HRR858159/HRR858159_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858159/HRR858159_R2.fastq.gz
HRR858160,/home/keke/base/raw/HRA003647/HRR858160/HRR858160_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858160/HRR858160_R2.fastq.gz
HRR858161,/home/keke/base/raw/HRA003647/HRR858161/HRR858161_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858161/HRR858161_R2.fastq.gz
HRR858162,/home/keke/base/raw/HRA003647/HRR858162/HRR858162_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858162/HRR858162_R2.fastq.gz
HRR858163,/home/keke/base/raw/HRA003647/HRR858163/HRR858163_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858163/HRR858163_R2.fastq.gz
HRR858164,/home/keke/base/raw/HRA003647/HRR858164/HRR858164_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858164/HRR858164_R2.fastq.gz
HRR858165,/home/keke/base/raw/HRA003647/HRR858165/HRR858165_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858165/HRR858165_R2.fastq.gz
HRR858166,/home/keke/base/raw/HRA003647/HRR858166/HRR858166_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858166/HRR858166_R2.fastq.gz
HRR858167,/home/keke/base/raw/HRA003647/HRR858167/HRR858167_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858167/HRR858167_R2.fastq.gz
HRR858168,/home/keke/base/raw/HRA003647/HRR858168/HRR858168_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858168/HRR858168_R2.fastq.gz
HRR858169,/home/keke/base/raw/HRA003647/HRR858169/HRR858169_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858169/HRR858169_R2.fastq.gz
HRR858170,/home/keke/base/raw/HRA003647/HRR858170/HRR858170_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858170/HRR858170_R2.fastq.gz
HRR858171,/home/keke/base/raw/HRA003647/HRR858171/HRR858171_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858171/HRR858171_R2.fastq.gz
HRR858172,/home/keke/base/raw/HRA003647/HRR858172/HRR858172_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858172/HRR858172_R2.fastq.gz
HRR858173,/home/keke/base/raw/HRA003647/HRR858173/HRR858173_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858173/HRR858173_R2.fastq.gz
HRR858174,/home/keke/base/raw/HRA003647/HRR858174/HRR858174_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858174/HRR858174_R2.fastq.gz
HRR858175,/home/keke/base/raw/HRA003647/HRR858175/HRR858175_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858175/HRR858175_R2.fastq.gz
HRR858176,/home/keke/base/raw/HRA003647/HRR858176/HRR858176_R1.fastq.gz,/home/keke/base/raw/HRA003647/HRR858176/HRR858176_R2.fastq.gz
